Land,Odds
Albanië,"497,8888888889"
Azerbeidzjan,"207,8888888889"
België,"370,4"
Bulgarije,"53,4117647059"
Cyprus,"65,4117647059"
Duitsland,"445,8888888889"
Finland,"25,7647058824"
Frankrijk,"3,7441176471"
Griekenland,"138,7222222222"
IJsland,"13,2941176471"
Israël,"232,0222222222"
Italië,"3,2941176471"
Litouwen,"67,7058823529"
Malta,"6,5205882353"
Moldavië,"387,8888888889"
Nederland,"364,7777777778"
Noorwegen,"135,4444444444"
Oekraïne,"9,2058823529"
Portugal,"40,6470588235"
Rusland,"129,8888888889"
San Marino,"42,4705882353"
Servië,"165,3529411765"
Spanje,"491,2222222222"
Verenigd Koninkrijk,"392,8888888889"
Zweden,"85,8823529412"
Zwitserland,"9,0735294118"
